進料批號,到貨日,供應商,料號,抽樣數,不合格數,判定,檢驗員,備註
IQC-26033,2026-06-15,供應商乙,樹脂R-02,80,0,允收,檢驗員乙,
IQC-26034,2026-06-15,供應商戊,金屬件M-05,32,0,允收,檢驗員丙,
IQC-26035,2026-06-16,供應商甲,樹脂R-01,80,2,特採,檢驗員甲,
IQC-26036,2026-06-16,供應商丁,包材P-12,32,1,允收,檢驗員甲,
IQC-26037,2026-06-16,供應商甲,樹脂R-01,32,1,允收,檢驗員乙,
IQC-26038,2026-06-16,供應商甲,樹脂R-01,50,1,允收,檢驗員丙,
IQC-26039,2026-06-17,供應商丙,包材P-11,50,0,允收,檢驗員甲,
IQC-26040,2026-06-17,供應商丁,包材P-12,50,2,特採,檢驗員乙,尺寸略超上限，經工程判定特採
IQC-26041,2026-06-20,供應商乙,樹脂R-02,32,1,允收,檢驗員丙,
IQC-26042,2026-06-20,供應商戊,金屬件M-05,80,1,允收,檢驗員乙,
IQC-26043,2026-06-21,供應商丙,包材P-11,80,0,允收,檢驗員甲,
IQC-26044,2026-06-21,供應商甲,樹脂R-01,32,1,允收,檢驗員甲,
IQC-26045,2026-06-23,供應商甲,樹脂R-01,50,0,允收,檢驗員丙,
IQC-26046,2026-06-24,供應商甲,樹脂R-01,32,0,允收,檢驗員乙,
IQC-26047,2026-06-24,供應商丁,包材P-12,50,0,允收,檢驗員丙,
IQC-26048,2026-06-24,供應商丙,包材P-11,50,0,允收,檢驗員丙,
IQC-26049,2026-06-24,供應商乙,樹脂R-02,32,1,允收,檢驗員丙,
IQC-26050,2026-06-24,供應商丙,包材P-11,32,0,允收,檢驗員甲,
IQC-26051,2026-06-25,供應商甲,樹脂R-01,50,0,允收,檢驗員乙,
IQC-26052,2026-06-25,供應商丙,包材P-11,32,0,允收,檢驗員甲,
IQC-26053,2026-06-25,供應商丁,包材P-12,50,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26054,2026-06-26,供應商戊,金屬件M-05,50,0,允收,檢驗員丙,
IQC-26055,2026-06-27,供應商丙,包材P-11,50,1,允收,檢驗員甲,
IQC-26056,2026-06-27,供應商甲,樹脂R-01,80,0,允收,檢驗員乙,
IQC-26057,2026-06-27,供應商戊,金屬件M-05,32,0,允收,檢驗員甲,
IQC-26058,2026-06-28,供應商乙,樹脂R-02,50,0,允收,檢驗員丙,
IQC-26059,2026-06-29,供應商丙,包材P-11,50,0,允收,檢驗員甲,
IQC-26060,2026-06-29,供應商甲,樹脂R-01,50,0,允收,檢驗員丙,
IQC-26061,2026-06-29,供應商丙,包材P-11,50,1,允收,檢驗員乙,
IQC-26062,2026-06-30,供應商丙,包材P-11,50,0,允收,檢驗員丙,
IQC-26063,2026-07-02,供應商乙,樹脂R-02,32,0,允收,檢驗員丙,
IQC-26064,2026-07-02,供應商戊,金屬件M-05,80,0,允收,檢驗員甲,
IQC-26065,2026-07-03,供應商丁,包材P-12,50,1,允收,檢驗員甲,
IQC-26066,2026-07-03,供應商丁,包材P-12,32,2,特採,檢驗員丙,
IQC-26067,2026-07-04,供應商戊,金屬件M-05,80,0,允收,檢驗員丙,
IQC-26068,2026-07-04,供應商乙,樹脂R-02,80,2,特採,檢驗員甲,
IQC-26069,2026-07-06,供應商戊,金屬件M-05,50,4,拒收,檢驗員甲,
IQC-26070,2026-07-07,供應商丁,包材P-12,80,0,允收,檢驗員丙,
IQC-26071,2026-07-07,供應商丁,包材P-12,80,1,允收,檢驗員甲,
IQC-26072,2026-07-08,供應商丙,包材P-11,50,0,允收,檢驗員甲,
IQC-26073,2026-07-09,供應商戊,金屬件M-05,80,1,允收,檢驗員乙,
IQC-26074,2026-07-09,供應商甲,樹脂R-01,80,0,允收,檢驗員甲,
IQC-26075,2026-07-10,供應商丁,包材P-12,80,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26076,2026-07-10,供應商丙,包材P-11,32,0,允收,檢驗員乙,
IQC-26077,2026-07-11,供應商戊,金屬件M-05,80,1,允收,檢驗員甲,
IQC-26078,2026-07-12,供應商乙,樹脂R-02,80,1,允收,檢驗員丙,
IQC-26079,2026-07-12,供應商丁,包材P-12,32,0,允收,檢驗員甲,
IQC-26080,2026-07-13,供應商甲,樹脂R-01,80,1,允收,檢驗員丙,
IQC-26081,2026-07-14,供應商乙,樹脂R-02,32,0,允收,檢驗員丙,
IQC-26082,2026-07-14,供應商丙,包材P-11,50,0,允收,檢驗員丙,
IQC-26083,2026-07-14,供應商戊,金屬件M-05,50,1,允收,檢驗員丙,
IQC-26084,2026-07-15,供應商丙,包材P-11,50,0,允收,檢驗員乙,
IQC-26085,2026-07-15,供應商戊,金屬件M-05,32,0,允收,檢驗員丙,
IQC-26086,2026-07-17,供應商戊,金屬件M-05,80,1,允收,檢驗員甲,
IQC-26087,2026-07-17,供應商丁,包材P-12,50,1,允收,檢驗員甲,
IQC-26088,2026-07-17,供應商丁,包材P-12,32,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26089,2026-07-18,供應商乙,樹脂R-02,80,0,允收,檢驗員丙,
IQC-26090,2026-07-18,供應商丙,包材P-11,80,1,允收,檢驗員丙,
IQC-26091,2026-07-21,供應商乙,樹脂R-02,50,0,允收,檢驗員甲,
IQC-26092,2026-07-21,供應商乙,樹脂R-02,50,0,允收,檢驗員乙,
IQC-26093,2026-07-21,供應商丙,包材P-11,50,0,允收,檢驗員丙,
IQC-26094,2026-07-22,供應商乙,樹脂R-02,32,0,允收,檢驗員甲,
IQC-26095,2026-07-23,供應商戊,金屬件M-05,50,0,允收,檢驗員甲,
IQC-26096,2026-07-23,供應商戊,金屬件M-05,32,0,允收,檢驗員甲,
IQC-26097,2026-07-24,供應商乙,樹脂R-02,80,0,允收,檢驗員甲,
IQC-26098,2026-07-25,供應商丙,包材P-11,50,0,允收,檢驗員丙,
IQC-26099,2026-07-25,供應商丁,包材P-12,80,2,特採,檢驗員乙,尺寸略超上限，經工程判定特採
IQC-26100,2026-07-25,供應商乙,樹脂R-02,80,0,允收,檢驗員乙,
IQC-26101,2026-07-26,供應商丁,包材P-12,50,1,允收,檢驗員甲,
IQC-26102,2026-07-26,供應商丙,包材P-11,80,1,允收,檢驗員丙,
IQC-26103,2026-07-27,供應商乙,樹脂R-02,80,1,允收,檢驗員乙,
IQC-26104,2026-07-28,供應商戊,金屬件M-05,80,1,允收,檢驗員乙,
IQC-26105,2026-07-28,供應商丙,包材P-11,80,0,允收,檢驗員甲,
IQC-26106,2026-07-29,供應商戊,金屬件M-05,50,1,允收,檢驗員甲,
IQC-26107,2026-07-29,供應商丁,包材P-12,50,1,允收,檢驗員丙,
IQC-26108,2026-07-29,供應商戊,金屬件M-05,50,0,允收,檢驗員甲,
IQC-26109,2026-07-30,供應商甲,樹脂R-01,50,1,允收,檢驗員甲,
IQC-26110,2026-07-31,供應商戊,金屬件M-05,32,0,允收,檢驗員丙,
IQC-26111,2026-07-31,供應商丙,包材P-11,32,1,允收,檢驗員丙,
IQC-26112,2026-08-01,供應商戊,金屬件M-05,32,0,允收,檢驗員乙,
IQC-26113,2026-08-01,供應商戊,金屬件M-05,80,0,允收,檢驗員甲,
IQC-26114,2026-08-01,供應商戊,金屬件M-05,32,0,允收,檢驗員丙,
IQC-26115,2026-08-01,供應商丙,包材P-11,32,0,允收,檢驗員甲,
IQC-26116,2026-08-01,供應商戊,金屬件M-05,32,1,允收,檢驗員丙,
IQC-26117,2026-08-02,供應商乙,樹脂R-02,80,2,拒收,檢驗員甲,
IQC-26118,2026-08-02,供應商丙,包材P-11,50,0,允收,檢驗員乙,
IQC-26119,2026-08-03,供應商丁,包材P-12,50,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26120,2026-08-04,供應商乙,樹脂R-02,50,0,允收,檢驗員丙,
IQC-26121,2026-08-04,供應商丁,包材P-12,50,0,允收,檢驗員乙,
IQC-26122,2026-08-06,供應商戊,金屬件M-05,80,2,特採,檢驗員甲,
IQC-26123,2026-08-08,供應商甲,樹脂R-01,50,0,允收,檢驗員甲,
IQC-26124,2026-08-08,供應商戊,金屬件M-05,80,3,拒收,檢驗員甲,
IQC-26125,2026-08-10,供應商戊,金屬件M-05,80,0,允收,檢驗員甲,
IQC-26126,2026-08-12,供應商乙,樹脂R-02,50,1,允收,檢驗員丙,
IQC-26127,2026-08-14,供應商戊,金屬件M-05,80,1,允收,檢驗員丙,
IQC-26128,2026-08-16,供應商丙,包材P-11,50,4,拒收,檢驗員丙,供應商換了原料來源（8 月通知）
IQC-26129,2026-08-16,供應商甲,樹脂R-01,50,0,允收,檢驗員甲,
IQC-26130,2026-08-16,供應商丁,包材P-12,80,2,特採,檢驗員乙,尺寸略超上限，經工程判定特採
IQC-26131,2026-08-17,供應商丙,包材P-11,50,6,拒收,檢驗員甲,封口強度不足
IQC-26132,2026-08-18,供應商丙,包材P-11,80,12,拒收,檢驗員丙,供應商換了原料來源（8 月通知）
IQC-26133,2026-08-18,供應商丙,包材P-11,50,3,拒收,檢驗員丙,膜厚不均
IQC-26134,2026-08-18,供應商丙,包材P-11,50,4,拒收,檢驗員甲,封口強度不足
IQC-26135,2026-08-20,供應商乙,樹脂R-02,32,1,允收,檢驗員乙,
IQC-26136,2026-08-23,供應商乙,樹脂R-02,32,0,允收,檢驗員甲,
IQC-26137,2026-08-24,供應商丙,包材P-11,80,4,拒收,檢驗員丙,封口強度不足
IQC-26138,2026-08-24,供應商戊,金屬件M-05,50,1,允收,檢驗員乙,
IQC-26139,2026-08-25,供應商戊,金屬件M-05,50,2,特採,檢驗員丙,
IQC-26140,2026-08-25,供應商丁,包材P-12,32,2,特採,檢驗員丙,尺寸略超上限，經工程判定特採
IQC-26141,2026-08-25,供應商乙,樹脂R-02,50,1,允收,檢驗員丙,
IQC-26142,2026-08-25,供應商丁,包材P-12,80,1,允收,檢驗員乙,
IQC-26143,2026-08-26,供應商戊,金屬件M-05,50,0,允收,檢驗員甲,
IQC-26144,2026-08-26,供應商甲,樹脂R-01,32,0,允收,檢驗員丙,
IQC-26145,2026-08-27,供應商乙,樹脂R-02,80,1,允收,檢驗員乙,
IQC-26146,2026-08-27,供應商丁,包材P-12,80,1,允收,檢驗員甲,
IQC-26147,2026-08-28,供應商丙,包材P-11,50,5,拒收,檢驗員丙,封口強度不足
IQC-26148,2026-08-29,供應商甲,樹脂R-01,50,1,允收,檢驗員甲,
IQC-26149,2026-08-29,供應商丁,包材P-12,32,3,拒收,檢驗員丙,
IQC-26150,2026-08-30,供應商丙,包材P-11,32,2,拒收,檢驗員甲,膜厚不均
IQC-26151,2026-08-31,供應商丙,包材P-11,50,3,拒收,檢驗員乙,封口強度不足
IQC-26152,2026-09-01,供應商乙,樹脂R-02,32,0,允收,檢驗員甲,
IQC-26153,2026-09-01,供應商丙,包材P-11,50,6,拒收,檢驗員甲,封口強度不足
IQC-26154,2026-09-02,供應商乙,樹脂R-02,32,0,允收,檢驗員丙,
IQC-26155,2026-09-03,供應商丙,包材P-11,32,3,拒收,檢驗員丙,供應商換了原料來源（8 月通知）
IQC-26156,2026-09-03,供應商丙,包材P-11,50,2,特採,檢驗員丙,供應商換了原料來源（8 月通知）
IQC-26157,2026-09-04,供應商丁,包材P-12,80,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26158,2026-09-04,供應商丙,包材P-11,50,6,拒收,檢驗員甲,封口強度不足
IQC-26159,2026-09-05,供應商丙,包材P-11,32,2,拒收,檢驗員甲,封口強度不足
IQC-26160,2026-09-06,供應商戊,金屬件M-05,50,0,允收,檢驗員甲,
IQC-26161,2026-09-06,供應商丙,包材P-11,50,6,拒收,檢驗員丙,膜厚不均
IQC-26162,2026-09-07,供應商戊,金屬件M-05,50,1,允收,檢驗員乙,
IQC-26163,2026-09-07,供應商丁,包材P-12,80,0,允收,檢驗員甲,
IQC-26164,2026-09-07,供應商丙,包材P-11,50,5,拒收,檢驗員乙,封口強度不足
IQC-26165,2026-09-08,供應商戊,金屬件M-05,50,0,允收,檢驗員丙,
IQC-26166,2026-09-08,供應商丙,包材P-11,50,3,拒收,檢驗員甲,膜厚不均
IQC-26167,2026-09-09,供應商甲,樹脂R-01,32,0,允收,檢驗員乙,
IQC-26168,2026-09-09,供應商丙,包材P-11,50,5,拒收,檢驗員丙,膜厚不均
IQC-26169,2026-09-11,供應商丁,包材P-12,80,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26170,2026-09-11,供應商戊,金屬件M-05,32,0,允收,檢驗員丙,
IQC-26171,2026-09-11,供應商戊,金屬件M-05,80,0,允收,檢驗員乙,
IQC-26172,2026-09-11,供應商丙,包材P-11,50,5,拒收,檢驗員丙,封口強度不足
IQC-26173,2026-09-12,供應商丙,包材P-11,50,3,拒收,檢驗員甲,封口強度不足
IQC-26174,2026-09-12,供應商丙,包材P-11,50,3,拒收,檢驗員甲,封口強度不足
IQC-26175,2026-09-13,供應商乙,樹脂R-02,32,1,允收,檢驗員丙,
IQC-26176,2026-09-14,供應商丁,包材P-12,80,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26177,2026-09-14,供應商丙,包材P-11,50,6,拒收,檢驗員乙,膜厚不均
IQC-26178,2026-09-15,供應商丁,包材P-12,80,1,允收,檢驗員乙,
IQC-26179,2026-09-16,供應商丙,包材P-11,50,5,拒收,檢驗員乙,膜厚不均
IQC-26180,2026-09-17,供應商甲,樹脂R-01,32,1,允收,檢驗員甲,
IQC-26181,2026-09-17,供應商丙,包材P-11,50,3,拒收,檢驗員乙,膜厚不均
IQC-26182,2026-09-19,供應商丁,包材P-12,80,0,允收,檢驗員丙,
IQC-26183,2026-09-19,供應商甲,樹脂R-01,32,1,允收,檢驗員乙,
IQC-26184,2026-09-19,供應商乙,樹脂R-02,80,0,允收,檢驗員甲,
IQC-26185,2026-09-19,供應商丙,包材P-11,50,2,特採,檢驗員乙,封口強度不足
IQC-26186,2026-09-19,供應商丙,包材P-11,50,5,拒收,檢驗員甲,封口強度不足
IQC-26187,2026-09-20,供應商戊,金屬件M-05,32,0,允收,檢驗員丙,
IQC-26188,2026-09-20,供應商丙,包材P-11,80,6,拒收,檢驗員丙,供應商換了原料來源（8 月通知）
IQC-26189,2026-09-20,供應商丙,包材P-11,50,7,拒收,檢驗員甲,供應商換了原料來源（8 月通知）
IQC-26190,2026-09-20,供應商丁,包材P-12,80,2,特採,檢驗員甲,
IQC-26191,2026-09-23,供應商甲,樹脂R-01,50,0,允收,檢驗員甲,
IQC-26192,2026-09-23,供應商丁,包材P-12,32,2,特採,檢驗員甲,尺寸略超上限，經工程判定特採
IQC-26193,2026-09-23,供應商丁,包材P-12,50,2,特採,檢驗員丙,尺寸略超上限，經工程判定特採
IQC-26194,2026-09-25,供應商乙,樹脂R-02,80,0,允收,檢驗員乙,
IQC-26195,2026-09-25,供應商乙,樹脂R-02,32,0,允收,檢驗員甲,
IQC-26196,2026-09-25,供應商丙,包材P-11,50,3,拒收,檢驗員丙,封口強度不足
IQC-26197,2026-09-26,供應商丙,包材P-11,50,4,拒收,檢驗員甲,膜厚不均
IQC-26198,2026-09-28,供應商甲,樹脂R-01,50,1,允收,檢驗員丙,
IQC-26199,2026-09-29,供應商丁,包材P-12,80,2,特採,檢驗員乙,尺寸略超上限，經工程判定特採
IQC-26200,2026-09-30,供應商丙,包材P-11,50,3,拒收,檢驗員乙,膜厚不均
