客訴編號,收件日,產品線,客戶,類別,嚴重度,狀態,負責單位,結案日,處理天數,期限天數,逾期,描述
CC-26020,2026-06-26,產品線A,客戶丙,外觀,低,已結案,製造課,2026-07-08,12,45,否,表面刮傷、異色
CC-26021,2026-06-28,產品線B,客戶己,標示,低,已結案,品保課,2026-07-07,9,45,否,標籤批號模糊
CC-26022,2026-06-29,產品線A,客戶戊,功能,低,已結案,研發課,2026-08-06,38,45,否,組裝後活動卡頓
CC-26023,2026-06-29,產品線B,客戶乙,外觀,低,已結案,製造課,2026-07-29,30,45,否,表面刮傷、異色
CC-26024,2026-06-29,產品線A,客戶戊,標示,低,CAPA 進行中,品保課,,,45,是,標籤批號模糊
CC-26025,2026-06-30,產品線A,客戶丁,外觀,低,已結案,製造課,2026-07-17,17,45,否,表面刮傷、異色
CC-26026,2026-07-01,產品線A,客戶己,標示,中,已結案,品保課,2026-07-08,7,30,否,標籤批號模糊
CC-26027,2026-07-01,產品線A,客戶戊,功能,低,已結案,研發課,2026-08-02,32,45,否,組裝後活動卡頓
CC-26028,2026-07-04,產品線B,客戶丙,外觀,中,已結案,製造課,2026-08-06,33,30,是,表面刮傷、異色
CC-26029,2026-07-05,產品線A,客戶乙,包裝,中,已結案,包裝課,2026-08-06,32,30,是,外箱破損、封口不完整
CC-26030,2026-07-05,產品線A,客戶丙,標示,高,CAPA 進行中,品保課,,,15,是,標籤批號模糊
CC-26031,2026-07-07,產品線B,客戶己,標示,中,已結案,品保課,2026-08-04,28,30,否,標籤批號模糊
CC-26032,2026-07-12,產品線B,客戶丙,功能,低,已結案,研發課,2026-08-26,45,45,否,組裝後活動卡頓
CC-26033,2026-07-14,產品線C,客戶丁,功能,中,已結案,研發課,2026-08-01,18,30,否,組裝後活動卡頓
CC-26034,2026-07-16,產品線C,客戶丁,標示,中,CAPA 進行中,品保課,,,30,是,標籤批號模糊
CC-26035,2026-07-18,產品線C,客戶丙,外觀,低,已結案,製造課,2026-08-13,26,45,否,表面刮傷、異色
CC-26036,2026-07-18,產品線C,客戶己,功能,低,已結案,研發課,2026-07-21,3,45,否,組裝後活動卡頓
CC-26037,2026-07-18,產品線B,客戶甲,外觀,中,已結案,製造課,2026-08-01,14,30,否,表面刮傷、異色
CC-26038,2026-07-20,產品線A,客戶戊,功能,高,已結案,研發課,2026-08-07,18,15,是,組裝後活動卡頓
CC-26039,2026-07-20,產品線A,客戶己,功能,低,已結案,研發課,2026-07-25,5,45,否,組裝後活動卡頓
CC-26040,2026-07-20,產品線A,客戶乙,標示,中,已結案,品保課,2026-08-02,13,30,否,標籤批號模糊
CC-26041,2026-07-22,產品線B,客戶乙,功能,低,已結案,研發課,2026-09-05,45,45,否,組裝後活動卡頓
CC-26042,2026-07-27,產品線A,客戶丁,標示,低,已結案,品保課,2026-09-09,44,45,否,標籤批號模糊
CC-26043,2026-07-28,產品線C,客戶甲,標示,低,已結案,品保課,2026-08-31,34,45,否,標籤批號模糊
CC-26044,2026-07-29,產品線C,客戶乙,功能,低,已結案,研發課,2026-09-08,41,45,否,組裝後活動卡頓
CC-26045,2026-07-29,產品線C,客戶己,功能,中,已結案,研發課,2026-08-15,17,30,否,組裝後活動卡頓
CC-26046,2026-07-29,產品線B,客戶丙,功能,低,已結案,研發課,2026-08-18,20,45,否,組裝後活動卡頓
CC-26047,2026-07-29,產品線A,客戶己,標示,低,CAPA 進行中,品保課,,,45,是,標籤批號模糊
CC-26048,2026-07-30,產品線A,客戶己,標示,低,已結案,品保課,2026-09-06,38,45,否,標籤批號模糊
CC-26049,2026-08-01,產品線A,客戶丙,外觀,低,已結案,製造課,2026-08-23,22,45,否,表面刮傷、異色
CC-26050,2026-08-02,產品線C,客戶丙,標示,低,CAPA 進行中,品保課,,,45,是,標籤批號模糊
CC-26051,2026-08-03,產品線C,客戶己,外觀,高,已結案,製造課,2026-08-07,4,15,否,表面刮傷、異色
CC-26052,2026-08-04,產品線B,客戶戊,外觀,低,已結案,製造課,2026-08-26,22,45,否,表面刮傷、異色
CC-26053,2026-08-05,產品線C,客戶戊,外觀,低,已結案,製造課,2026-09-20,46,45,是,表面刮傷、異色
CC-26054,2026-08-06,產品線A,客戶己,外觀,低,已結案,製造課,2026-08-11,5,45,否,表面刮傷、異色
CC-26055,2026-08-08,產品線A,客戶甲,標示,低,CAPA 進行中,品保課,,,45,是,標籤批號模糊
CC-26056,2026-08-09,產品線C,客戶乙,外觀,低,已結案,製造課,2026-08-28,19,45,否,表面刮傷、異色
CC-26057,2026-08-09,產品線B,客戶丙,功能,低,已結案,研發課,2026-08-14,5,45,否,組裝後活動卡頓
CC-26058,2026-08-10,產品線A,客戶己,標示,低,已結案,品保課,2026-09-09,30,45,否,標籤批號模糊
CC-26059,2026-08-11,產品線A,客戶甲,功能,低,已結案,研發課,2026-09-14,34,45,否,組裝後活動卡頓
CC-26060,2026-08-14,產品線A,客戶乙,外觀,低,已結案,製造課,2026-09-27,44,45,否,表面刮傷、異色
CC-26061,2026-08-17,產品線B,客戶己,功能,低,已結案,研發課,2026-09-06,20,45,否,組裝後活動卡頓
CC-26062,2026-08-17,產品線B,客戶己,功能,中,已結案,研發課,2026-09-16,30,30,否,組裝後活動卡頓
CC-26063,2026-08-19,產品線B,客戶丁,外觀,中,已結案,製造課,2026-08-31,12,30,否,表面刮傷、異色
CC-26064,2026-08-21,產品線B,客戶丙,外觀,中,已結案,製造課,2026-09-07,17,30,否,表面刮傷、異色
CC-26065,2026-08-22,產品線C,客戶乙,功能,中,已結案,研發課,2026-09-06,15,30,否,組裝後活動卡頓
CC-26066,2026-08-24,產品線B,客戶乙,標示,低,已結案,品保課,2026-09-25,32,45,否,標籤批號模糊
CC-26067,2026-08-26,產品線A,客戶丁,標示,中,已結案,品保課,2026-09-19,24,30,否,標籤批號模糊
CC-26068,2026-08-27,產品線C,客戶乙,外觀,低,已結案,製造課,2026-09-19,23,45,否,表面刮傷、異色
CC-26069,2026-08-28,產品線A,客戶甲,功能,中,已結案,研發課,2026-09-29,32,30,是,組裝後活動卡頓
CC-26070,2026-08-28,產品線C,客戶丙,外觀,中,已結案,製造課,2026-09-02,5,30,否,表面刮傷、異色
CC-26071,2026-08-28,產品線A,客戶丁,標示,高,已結案,品保課,2026-09-13,16,15,是,標籤批號模糊
CC-26072,2026-08-31,產品線C,客戶甲,外觀,低,已結案,製造課,2026-09-25,25,45,否,表面刮傷、異色
CC-26073,2026-08-31,產品線B,客戶丁,外觀,中,已結案,製造課,2026-09-14,14,30,否,表面刮傷、異色
CC-26074,2026-09-01,產品線B,客戶丁,包裝,低,CAPA 進行中,包裝課,,,45,否,封口寬度不足
CC-26075,2026-09-02,產品線A,客戶乙,外觀,低,已結案,製造課,2026-09-17,15,45,否,表面刮傷、異色
CC-26076,2026-09-03,產品線B,客戶甲,外觀,低,CAPA 進行中,製造課,,,45,否,表面刮傷、異色
CC-26077,2026-09-05,產品線B,客戶乙,外觀,低,調查中,製造課,,,45,否,表面刮傷、異色
CC-26078,2026-09-05,產品線A,客戶丙,功能,低,調查中,研發課,,,45,否,組裝後活動卡頓
CC-26079,2026-09-06,產品線B,客戶丙,外觀,中,調查中,製造課,,,30,否,表面刮傷、異色
CC-26080,2026-09-06,產品線B,客戶乙,外觀,中,已結案,製造課,2026-09-18,12,30,否,表面刮傷、異色
CC-26081,2026-09-07,產品線B,客戶丁,外觀,高,CAPA 進行中,製造課,,,15,是,表面刮傷、異色
CC-26082,2026-09-08,產品線C,客戶乙,標示,中,CAPA 進行中,品保課,,,30,否,標籤批號模糊
CC-26083,2026-09-08,產品線C,客戶乙,功能,低,CAPA 進行中,研發課,,,45,否,組裝後活動卡頓
CC-26084,2026-09-09,產品線B,客戶戊,包裝,低,已結案,包裝課,2026-09-24,15,45,否,外箱破損、封口不完整
CC-26085,2026-09-10,產品線C,客戶戊,標示,低,已結案,品保課,2026-09-21,11,45,否,標籤批號模糊
CC-26086,2026-09-10,產品線C,客戶戊,包裝,低,已結案,包裝課,2026-09-21,11,45,否,外箱破損、封口不完整
CC-26087,2026-09-11,產品線C,客戶乙,標示,高,已結案,品保課,2026-09-19,8,15,否,標籤批號模糊
CC-26088,2026-09-11,產品線C,客戶戊,外觀,低,調查中,製造課,,,45,否,表面刮傷、異色
CC-26089,2026-09-11,產品線B,客戶丙,外觀,中,CAPA 進行中,製造課,,,30,否,表面刮傷、異色
CC-26090,2026-09-11,產品線B,客戶戊,包裝,中,已結案,包裝課,2026-09-14,3,30,否,外箱破損、封口不完整
CC-26091,2026-09-12,產品線C,客戶丁,外觀,低,調查中,製造課,,,45,否,表面刮傷、異色
CC-26092,2026-09-12,產品線C,客戶甲,外觀,中,CAPA 進行中,製造課,,,30,否,表面刮傷、異色
CC-26093,2026-09-13,產品線C,客戶戊,功能,低,CAPA 進行中,研發課,,,45,否,組裝後活動卡頓
CC-26094,2026-09-14,產品線B,客戶丙,功能,低,CAPA 進行中,研發課,,,45,否,組裝後活動卡頓
CC-26095,2026-09-14,產品線A,客戶甲,功能,中,CAPA 進行中,研發課,,,30,否,組裝後活動卡頓
CC-26096,2026-09-14,產品線B,客戶乙,包裝,中,調查中,包裝課,,,30,否,封口寬度不足
CC-26097,2026-09-16,產品線A,客戶己,標示,中,調查中,品保課,,,30,否,標籤批號模糊
CC-26098,2026-09-16,產品線C,客戶戊,功能,低,調查中,研發課,,,45,否,組裝後活動卡頓
CC-26099,2026-09-17,產品線B,客戶丁,包裝,低,CAPA 進行中,包裝課,,,45,否,外箱破損、封口不完整
CC-26100,2026-09-19,產品線B,客戶甲,外觀,中,調查中,製造課,,,30,否,表面刮傷、異色
CC-26101,2026-09-19,產品線C,客戶乙,標示,低,CAPA 進行中,品保課,,,45,否,標籤批號模糊
CC-26102,2026-09-19,產品線C,客戶己,功能,低,調查中,研發課,,,45,否,組裝後活動卡頓
CC-26103,2026-09-19,產品線B,客戶甲,包裝,中,CAPA 進行中,包裝課,,,30,否,封口寬度不足
CC-26104,2026-09-20,產品線C,客戶丁,外觀,中,已結案,製造課,2026-10-01,11,30,否,表面刮傷、異色
CC-26105,2026-09-20,產品線B,客戶戊,包裝,低,調查中,包裝課,,,45,否,外箱破損、封口不完整
CC-26106,2026-09-22,產品線A,客戶甲,外觀,低,調查中,製造課,,,45,否,表面刮傷、異色
CC-26107,2026-09-24,產品線C,客戶戊,功能,中,調查中,研發課,,,30,否,組裝後活動卡頓
CC-26108,2026-09-24,產品線B,客戶戊,包裝,中,CAPA 進行中,包裝課,,,30,否,外箱破損、封口不完整
CC-26109,2026-09-25,產品線A,客戶乙,功能,中,CAPA 進行中,研發課,,,30,否,組裝後活動卡頓
CC-26110,2026-09-26,產品線A,客戶甲,外觀,中,調查中,製造課,,,30,否,表面刮傷、異色
CC-26111,2026-09-26,產品線C,客戶己,外觀,中,調查中,製造課,,,30,否,表面刮傷、異色
CC-26112,2026-09-26,產品線B,客戶丙,包裝,低,調查中,包裝課,,,45,否,外箱破損、封口不完整
CC-26113,2026-09-26,產品線B,客戶甲,包裝,低,CAPA 進行中,包裝課,,,45,否,外箱破損、封口不完整
CC-26114,2026-09-27,產品線B,客戶丙,包裝,低,CAPA 進行中,包裝課,,,45,否,外箱破損、封口不完整
CC-26115,2026-09-27,產品線B,客戶乙,包裝,低,CAPA 進行中,包裝課,,,45,否,封口寬度不足
CC-26116,2026-09-28,產品線B,客戶乙,包裝,低,調查中,包裝課,,,45,否,無菌袋封口有皺褶
CC-26117,2026-09-28,產品線B,客戶戊,包裝,低,CAPA 進行中,包裝課,,,45,否,外箱破損、封口不完整
CC-26118,2026-09-29,產品線A,客戶乙,功能,低,調查中,研發課,,,45,否,組裝後活動卡頓
CC-26119,2026-09-29,產品線C,客戶甲,標示,低,調查中,品保課,,,45,否,標籤批號模糊
CC-26120,2026-09-30,產品線B,客戶丁,標示,低,CAPA 進行中,品保課,,,45,否,標籤批號模糊
