批號,日期,機台,班別,操作員,原料批號,模具保養後天數,料溫,模溫,射出壓力,保壓時間,冷卻時間,環境溫度,環境濕度,產出數,不良數,現場紀錄
P-2445,2026-09-01,M1,夜班,OP07,R-0713,19,230.6,185.3,68.1,2.88,14.3,28.0,58,347,23,
P-2446,2026-09-02,M3,日班,OP01,R-0703,20,227.1,183.3,73.9,2.56,15.4,28.1,58,275,6,
P-2447,2026-09-02,M1,日班,OP03,R-0712,3,228.5,185.5,71.0,2.85,14.8,25.8,61,248,10,
P-2448,2026-09-03,M2,日班,OP08,R-0715,2,227.4,189.9,77.5,2.61,14.3,27.6,67,310,16,
P-2449,2026-09-04,M3,日班,OP02,R-0705,22,231.1,184.5,72.0,2.88,15.4,25.9,47,359,3,首件檢驗通過
P-2450,2026-09-04,M3,夜班,OP02,R-0712,5,225.5,188.5,68.6,2.69,13.6,24.3,47,247,11,換料 R-0712
P-2451,2026-09-05,M2,日班,OP07,R-0702,20,229.0,184.5,77.1,2.79,14.8,25.6,55,261,3,首件檢驗通過
P-2452,2026-09-06,M1,夜班,OP02,R-0703,9,232.1,183.6,68.0,2.71,12.9,26.6,61,378,5,機台射出時有異音，班長已口頭通報
P-2453,2026-09-06,M1,日班,OP05,R-0701,15,224.0,182.2,69.6,2.64,12.5,25.8,70,308,3,換班交接完成
P-2454,2026-09-07,M3,夜班,OP01,R-0704,19,225.2,182.7,76.7,2.65,13.9,25.1,57,271,5,正常
P-2455,2026-09-08,M2,夜班,OP02,R-0707,23,225.6,186.4,76.7,2.77,13.8,28.5,56,392,8,
P-2456,2026-09-08,M1,夜班,OP04,R-0710,4,227.6,187.5,71.9,2.85,14.0,24.3,51,377,9,換班交接完成
P-2457,2026-09-09,M1,日班,OP03,R-0705,6,232.6,181.9,69.5,2.73,13.3,24.1,64,341,5,
P-2458,2026-09-10,M3,夜班,OP08,R-0709,11,228.1,187.8,75.3,2.65,14.5,28.6,67,385,10,
P-2459,2026-09-10,M2,日班,OP05,R-0703,12,226.6,182.1,70.6,2.93,14.1,28.5,70,270,5,首件檢驗通過
P-2460,2026-09-11,M2,夜班,OP03,R-0714,2,230.7,184.4,72.4,2.59,12.9,24.6,56,306,13,
P-2461,2026-09-12,M2,日班,OP01,R-0713,23,227.8,190.5,78.0,2.8,14.8,26.4,47,350,6,
P-2462,2026-09-12,M3,日班,OP01,R-0705,6,227.4,182.8,76.8,2.64,14.6,26.8,76,230,11,除濕機排程保養中
P-2463,2026-09-13,M3,夜班,OP02,R-0701,17,223.2,184.9,70.1,3.06,13.1,26.3,45,252,9,
P-2464,2026-09-14,M3,日班,OP02,R-0713,12,232.2,185.2,72.4,2.79,13.4,26.1,53,345,7,首件檢驗通過
P-2465,2026-09-14,M1,日班,OP01,R-0707,23,226.2,184.9,80.0,2.61,15.3,24.8,69,346,6,冷卻水管接頭有滴漏水，先用抹布擋著
P-2466,2026-09-15,M3,夜班,OP07,R-0714,7,228.8,183.4,79.4,2.61,12.9,27.4,48,419,8,
P-2467,2026-09-16,M1,夜班,OP08,R-0714,0,228.7,187.9,81.0,2.64,14.7,25.2,69,245,12,
P-2468,2026-09-16,M1,夜班,OP07,R-0701,5,224.6,182.8,74.6,2.7,15.1,25.0,65,418,10,換班交接完成
P-2469,2026-09-17,M2,夜班,OP04,R-0708,15,223.2,189.2,68.3,2.57,15.1,29.0,79,280,13,
P-2470,2026-09-18,M2,夜班,OP06,R-0714,8,225.4,190.0,73.0,2.57,14.8,27.7,70,276,4,巡檢無異常
P-2471,2026-09-18,M3,日班,OP06,R-0702,11,222.4,187.6,76.4,2.92,14.3,27.1,54,383,3,正常
P-2472,2026-09-19,M3,日班,OP02,R-0714,22,223.9,184.7,79.8,2.93,14.8,27.5,68,290,4,
P-2473,2026-09-20,M1,日班,OP06,R-0712,14,226.3,190.0,71.2,2.77,15.2,26.7,62,417,18,
P-2474,2026-09-20,M1,夜班,OP03,R-0713,10,223.1,185.4,79.9,2.67,13.0,27.9,80,346,19,
P-2475,2026-09-21,M3,夜班,OP08,R-0702,4,225.8,189.4,69.4,2.6,14.8,25.5,55,372,5,依排程生產
P-2476,2026-09-22,M3,日班,OP04,R-0707,23,230.6,190.5,86.5,2.76,14.6,27.4,59,267,7,巡檢無異常
P-2477,2026-09-22,M1,日班,OP08,R-0704,10,223.5,190.1,71.4,2.89,14.2,26.4,48,316,3,
P-2478,2026-09-23,M2,日班,OP06,R-0706,11,223.1,188.9,70.4,2.73,14.2,24.4,57,284,7,換班交接完成
P-2479,2026-09-24,M1,夜班,OP08,R-0701,13,231.9,187.5,73.6,2.83,14.0,27.1,46,358,8,依排程生產
P-2480,2026-09-24,M1,夜班,OP04,R-0715,15,231.1,182.3,68.5,2.7,11.5,25.7,58,223,9,
P-2481,2026-09-25,M3,日班,OP01,R-0701,6,224.6,187.5,79.2,2.64,14.1,25.9,69,405,33,
P-2482,2026-09-26,M2,日班,OP03,R-0702,7,221.9,186.5,80.2,2.87,13.8,27.1,46,311,5,
P-2483,2026-09-26,M2,夜班,OP02,R-0714,3,222.9,185.3,78.9,2.63,13.6,27.5,64,419,8,依排程生產
P-2484,2026-09-27,M2,日班,OP01,R-0706,3,229.0,187.6,81.5,2.93,12.8,28.1,65,231,15,換班交接完成
P-2485,2026-09-28,M1,夜班,OP08,R-0715,10,229.8,185.0,72.4,2.87,14.8,24.6,61,402,5,換班交接完成
P-2486,2026-09-28,M3,夜班,OP03,R-0710,8,224.0,183.8,73.0,2.57,14.2,26.5,67,399,28,首件檢驗通過
P-2487,2026-09-29,M3,日班,OP07,R-0702,3,223.4,188.4,79.2,2.85,13.5,25.2,57,365,9,依排程生產
P-2488,2026-09-30,M2,夜班,OP05,R-0701,24,218.7,188.1,76.0,2.91,14.2,25.9,51,343,9,換班交接完成
P-2489,2026-09-30,M3,夜班,OP02,R-0701,18,225.9,185.7,82.0,2.93,13.2,29.0,68,239,3,正常
P-2490,2026-10-01,M3,夜班,OP08,R-0714,12,230.1,182.1,77.4,2.83,12.9,28.0,52,312,6,
