批號,日期,機台,班別,治具版本,模溫,射出壓力,產出數,不良數
1064,2026-04-22,M2,日班,v1,183.2,87.8,374,10
1065,2026-04-23,M1,日班,v1,178.1,85.6,320,7
1066,2026-04-23,M2,夜班,v1,193.2,84.5,358,6
1067,2026-04-23,M2,日班,v2,181.1,86.6,276,4
1068,2026-04-23,M1,夜班,v1,190.2,85.7,253,4
1069,2026-04-23,M3,夜班,v2,186.7,76.9,315,14
1070,2026-04-23,M1,日班,v1,187.9,85.4,312,6
1071,2026-04-23,M1,日班,v1,179.6,86.3,376,9
1072,2026-04-23,M1,日班,v1,192.8,64.6,347,6
1073,2026-04-23,M1,日班,v2,187.5,73.7,289,4
1074,2026-04-23,M1,夜班,v1,186.2,65.8,363,5
1076,2026-04-23,M1,夜班,v2,178.9,63.4,197,2
1077,2026-04-24,M1,夜班,v1,191.2,87.3,378,13
1078,2026-04-24,M1,日班,v1,193.7,86.6,322,10
1081,2026-04-24,M3,日班,v1,185.4,82.0,225,19
1082,2026-04-24,M2,夜班,v1,179.4,62.3,281,7
1083,2026-04-24,M3,日班,v2,187.9,69.0,259,10
1085,2026-04-25,M3,夜班,v2,184.3,62.2,369,18
1086,2026-04-25,M3,日班,v1,185.9,64.0,241,18
1087,2026-04-26,M1,夜班,v1,182.0,66.6,412,7
1088,2026-04-26,M3,日班,v1,188.3,70.3,275,19
1089,2026-04-27,M2,日班,v1,180.2,64.3,330,6
1090,2026-04-27,M2,夜班,v1,186.5,80.9,224,6
1091,2026-04-27,M2,夜班,v2,189.2,85.7,350,7
1092,2026-04-27,M1,夜班,v1,192.1,72.0,357,8
1093,2026-04-27,M2,日班,v1,186.5,73.9,313,12
1094,2026-04-28,M1,夜班,v1,183.8,63.1,256,7
1095,2026-04-29,M1,夜班,v1,187.1,69.3,226,4
1096,2026-04-29,M2,日班,v2,178.6,71.2,313,4
1097,2026-04-30,M3,日班,v2,183.0,69.0,392,16
1098,2026-05-01,M1,夜班,v1,181.1,65.0,350,10
1099,2026-05-01,M1,夜班,v1,188.7,71.7,240,4
1101,2026-05-02,M2,夜班,v2,187.8,75.6,388,5
1102,2026-05-03,M2,日班,v1,180.3,67.2,223,3
1103,2026-05-03,M3,夜班,v2,188.3,62.2,190,10
1104,2026-05-03,M3,日班,v2,180.3,81.2,369,18
1105,2026-05-03,M2,夜班,v1,179.6,86.6,261,6
1106,2026-05-03,M2,日班,v1,188.2,81.5,395,7
1108,2026-05-03,M2,夜班,v1,185.3,78.2,298,6
1109,2026-05-03,M2,夜班,v1,182.7,73.2,410,9
1110,2026-05-03,M1,日班,v1,185.6,74.7,339,4
1111,2026-05-03,M3,日班,v2,181.7,69.5,340,10
1113,2026-05-03,M1,夜班,v1,185.0,86.8,419,3
1114,2026-05-03,M2,夜班,v1,185.2,71.9,294,7
1115,2026-05-03,M2,夜班,v1,190.6,87.4,255,5
1117,2026-05-03,M2,日班,v1,186.7,85.5,302,5
1118,2026-05-03,M2,日班,v1,180.6,73.2,327,5
1119,2026-05-04,M3,夜班,v2,182.6,72.8,222,9
1120,2026-05-04,M1,日班,v1,183.5,84.7,271,11
1121,2026-05-04,M1,日班,v2,178.2,79.1,200,2
1122,2026-05-04,M3,夜班,v2,188.8,63.5,242,17
1123,2026-05-04,M3,夜班,v2,193.1,77.9,362,19
1124,2026-05-04,M3,日班,v2,180.7,73.1,291,8
1125,2026-05-04,M3,日班,v1,190.0,65.0,332,23
1126,2026-05-04,M2,日班,v1,187.0,77.8,299,8
1127,2026-05-04,M2,日班,v1,182.1,81.8,357,7
1128,2026-05-04,M1,夜班,v1,185.8,69.0,196,3
1129,2026-05-04,M3,夜班,v2,190.7,64.3,242,12
1130,2026-05-04,M3,日班,v2,187.1,79.6,343,17
1131,2026-05-04,M2,夜班,v1,180.1,68.7,208,9
1132,2026-05-04,M1,日班,v1,181.2,63.4,364,8
1133,2026-05-04,M2,日班,v2,184.5,86.6,362,4
1134,2026-05-05,M2,日班,v1,185.5,86.9,273,2
1135,2026-05-05,M3,夜班,v2,186.2,86.9,376,19
1136,2026-05-06,M2,日班,v2,184.1,72.9,376,8
1137,2026-05-07,M3,日班,v2,185.2,73.3,276,5
1138,2026-05-08,M1,日班,v1,184.2,65.8,239,5
1139,2026-05-08,M3,日班,v2,190.9,84.6,317,11
1140,2026-05-08,M3,夜班,v2,190.6,63.6,253,16
1141,2026-05-09,M2,夜班,v2,180.2,63.9,212,5
1142,2026-05-09,M2,日班,v1,188.5,67.5,325,3
1143,2026-05-09,M3,夜班,v2,188.1,75.6,350,18
1144,2026-05-10,M2,夜班,v1,179.8,69.5,389,11
1145,2026-05-10,M2,夜班,v1,185.7,85.1,259,5
1146,2026-05-10,M2,日班,v1,183.8,72.7,376,9
1147,2026-05-10,M3,夜班,v2,178.1,74.6,365,22
1149,2026-05-11,M1,夜班,v1,191.8,76.8,281,5
1150,2026-05-11,M2,夜班,v1,187.2,71.3,397,5
1151,2026-05-11,M1,夜班,v2,191.4,77.2,376,3
1152,2026-05-11,M2,夜班,v2,191.0,87.0,338,2
1153,2026-05-12,M1,夜班,v1,179.0,67.0,340,6
1155,2026-05-12,M1,日班,v1,189.3,83.2,310,2
1156,2026-05-12,M3,夜班,v1,178.2,83.1,228,18
1157,2026-05-13,M3,日班,v2,183.8,68.2,224,3
1158,2026-05-14,M1,日班,v1,193.9,77.6,221,2
1159,2026-05-14,M2,夜班,v1,190.5,77.6,244,5
1160,2026-05-15,M3,夜班,v2,189.0,84.7,188,11
1161,2026-05-16,M2,夜班,v1,182.6,78.8,393,15
1162,2026-05-16,M2,日班,v1,193.0,63.4,183,2
1163,2026-05-17,M1,夜班,v1,188.5,78.9,290,4
1164,2026-05-17,M2,日班,v1,193.1,79.8,198,5
1165,2026-05-17,M2,夜班,v1,178.7,83.6,237,5
1167,2026-05-17,M3,夜班,v2,191.8,62.5,207,7
1168,2026-05-17,M2,夜班,v1,192.8,71.8,223,5
1169,2026-05-18,M3,日班,v2,179.1,77.2,293,16
1170,2026-05-19,M2,夜班,v2,189.4,63.6,379,10
1171,2026-05-19,M3,夜班,v2,179.8,68.2,218,10
1172,2026-05-20,M1,夜班,v1,185.6,82.4,381,8
1173,2026-05-21,M3,日班,v2,180.0,68.5,233,10
1174,2026-05-21,M2,日班,v1,186.5,78.5,393,10
1175,2026-05-21,M3,夜班,v2,179.9,75.4,379,21
1176,2026-05-22,M2,日班,v1,180.5,74.5,274,10
1178,2026-05-23,M2,日班,v1,183.2,81.2,225,7
1179,2026-05-23,M1,日班,v1,180.9,68.4,322,3
1180,2026-05-24,M1,夜班,v1,180.6,87.4,256,4
1181,2026-05-24,M2,日班,v1,188.8,75.8,366,6
1183,2026-05-24,M3,日班,v2,182.5,71.4,408,22
1184,2026-05-25,M3,夜班,v1,193.6,80.5,347,31
1185,2026-05-26,M3,夜班,v2,178.3,63.6,375,20
1186,2026-05-27,M2,夜班,v1,181.8,75.9,241,4
1187,2026-05-27,M1,日班,v1,185.3,73.6,203,2
1188,2026-05-27,M3,夜班,v2,181.7,68.8,385,21
1189,2026-05-28,M1,夜班,v1,190.0,75.3,201,2
1190,2026-05-28,M3,夜班,v2,192.0,84.0,416,24
1191,2026-05-28,M2,日班,v1,178.3,73.2,353,4
1192,2026-05-29,M3,夜班,v2,185.4,69.0,221,13
1193,2026-05-29,M3,夜班,v2,190.8,62.6,334,16
1194,2026-05-29,M1,日班,v1,179.3,64.0,348,6
1195,2026-05-29,M3,日班,v1,186.1,79.1,367,24
1197,2026-05-29,M1,日班,v1,185.5,64.1,183,1
1198,2026-05-29,M1,日班,v1,185.7,86.4,211,3
1199,2026-05-29,M1,日班,v1,184.0,74.4,376,7
1201,2026-05-29,M1,夜班,v2,193.3,72.4,271,3
1202,2026-05-29,M2,日班,v2,181.4,70.0,275,5
1203,2026-05-30,M1,夜班,v2,183.2,73.1,322,4
1204,2026-06-01,M3,日班,v2,185.4,85.9,218,5
1205,2026-06-01,M1,夜班,v2,185.7,86.9,322,2
1207,2026-06-01,M3,夜班,v2,183.6,87.9,368,11
1208,2026-06-01,M3,夜班,v1,178.5,80.0,209,13
1209,2026-06-02,M2,日班,v1,190.6,78.8,225,3
1210,2026-06-02,M3,日班,v2,180.0,69.0,255,15
1212,2026-06-03,M1,夜班,v2,184.9,82.1,329,3
1213,2026-06-04,M3,日班,v2,192.1,65.1,241,10
1214,2026-06-04,M3,日班,v2,181.3,81.2,200,7
1216,2026-06-04,M3,夜班,v2,193.9,85.4,399,16
1217,2026-06-05,M2,夜班,v2,185.8,79.5,244,4
1218,2026-06-05,M1,日班,v1,180.2,67.8,389,6
1219,2026-06-05,M2,日班,v1,178.9,70.8,376,8
1220,2026-06-05,M2,日班,v1,179.4,71.1,195,7
1221,2026-06-05,M2,日班,v1,189.7,68.6,230,4
1222,2026-06-06,M1,夜班,v1,185.8,80.1,392,3
1224,2026-06-06,M2,日班,v1,188.6,80.3,327,7
1225,2026-06-06,M1,夜班,v1,189.1,80.5,394,4
1226,2026-06-06,M3,夜班,v2,191.9,85.1,249,21
1227,2026-06-06,M1,日班,v1,181.7,76.9,417,6
1228,2026-06-06,M2,日班,v2,184.7,80.1,221,6
1229,2026-06-07,M1,日班,v1,184.5,87.1,420,9
1230,2026-06-08,M3,夜班,v2,187.9,72.3,322,18
1231,2026-06-08,M3,日班,v2,190.6,85.8,217,11
1232,2026-06-09,M2,日班,v1,183.2,70.3,253,5
1233,2026-06-10,M3,夜班,v2,188.1,74.7,380,30
1234,2026-06-10,M2,日班,v1,184.4,75.8,304,3
1236,2026-06-10,M1,夜班,v2,182.1,63.8,322,2
1238,2026-06-10,M2,夜班,v1,183.5,64.0,402,9
1240,2026-06-11,M3,日班,v2,179.9,80.4,287,12
1241,2026-06-11,M2,日班,v1,185.9,71.3,345,10
1242,2026-06-11,M1,夜班,v1,193.2,67.9,376,3
1243,2026-06-11,M1,日班,v1,189.7,80.1,298,0
1244,2026-06-12,M1,夜班,v1,178.6,72.5,317,4
1245,2026-06-12,M3,日班,v2,184.6,71.9,307,9
1248,2026-06-13,M2,日班,v1,193.1,63.7,218,3
1250,2026-06-13,M3,夜班,v2,180.1,72.3,208,16
1251,2026-06-14,M2,日班,v1,183.3,72.7,267,7
1252,2026-06-14,M3,夜班,v2,185.3,81.2,249,18
1253,2026-06-14,M2,日班,v1,184.2,76.0,360,7
1254,2026-06-14,M2,日班,v1,189.3,63.4,302,7
1255,2026-06-14,M2,夜班,v1,193.1,74.3,410,12
1256,2026-06-14,M1,日班,v1,193.8,77.6,383,6
1257,2026-06-15,M2,夜班,v2,189.7,81.1,258,2
1258,2026-06-16,M3,夜班,v2,179.1,63.7,220,10
1260,2026-06-16,M1,夜班,v1,185.7,67.9,257,7
1261,2026-06-16,M2,日班,v1,192.1,65.6,407,13
1262,2026-06-16,M1,夜班,v1,187.5,66.4,317,4
1263,2026-06-16,M1,夜班,v1,186.6,69.0,283,5
1264,2026-06-17,M1,夜班,v1,191.4,84.6,412,9
1265,2026-06-17,M1,夜班,v1,187.6,69.4,292,6
1266,2026-06-18,M1,夜班,v1,187.3,72.4,195,3
1268,2026-06-18,M3,夜班,v2,193.9,81.9,287,15
1269,2026-06-18,M1,夜班,v1,191.9,79.3,193,4
1270,2026-06-18,M1,夜班,v1,182.2,71.8,314,6
1272,2026-06-18,M1,夜班,v1,193.5,82.7,258,6
1273,2026-06-18,M2,夜班,v1,179.7,84.5,254,7
1274,2026-06-18,M2,夜班,v1,183.4,83.7,251,9
1275,2026-06-18,M2,夜班,v1,187.3,66.9,184,4
1277,2026-06-18,M2,夜班,v2,183.7,85.7,285,7
1278,2026-06-18,M1,夜班,v1,180.7,79.9,214,5
1279,2026-06-19,M1,夜班,v1,190.0,75.7,333,4
1280,2026-06-19,M3,日班,v2,188.9,69.1,205,9
1281,2026-06-19,M2,日班,v1,185.6,83.5,406,7
1282,2026-06-19,M1,日班,v1,188.3,79.6,418,10
1283,2026-06-20,M1,日班,v1,191.9,64.7,365,8
1284,2026-06-21,M3,日班,v2,193.4,79.4,195,13
1285,2026-06-22,M1,日班,v1,186.9,87.2,278,4
1286,2026-06-23,M1,夜班,v1,191.6,81.5,321,7
1287,2026-06-23,M2,日班,v2,183.9,82.9,249,4
1288,2026-06-24,M2,日班,v1,192.2,65.7,281,6
1289,2026-06-24,M3,日班,v2,182.1,82.0,343,17
1290,2026-06-24,M2,夜班,v1,187.9,66.7,347,10
1292,2026-06-25,M3,日班,v2,183.3,76.5,206,11
1293,2026-06-25,M1,夜班,v1,189.5,78.0,313,6
1294,2026-06-25,M2,日班,v2,182.1,86.5,400,4
1296,2026-06-25,M3,夜班,v2,184.7,73.5,369,15
1298,2026-06-25,M3,日班,v2,189.6,79.4,328,10
1299,2026-06-26,M3,夜班,v2,186.3,73.0,403,21
1300,2026-06-27,M3,日班,v2,186.4,71.7,273,17
1301,2026-06-27,M1,日班,v2,186.2,76.4,257,2
1302,2026-06-27,M1,夜班,v1,187.6,69.1,401,7
1303,2026-06-27,M3,夜班,v2,180.9,69.6,250,15
1304,2026-06-28,M3,夜班,v2,193.9,65.1,261,16
1305,2026-06-29,M2,日班,v1,193.6,77.2,231,3
1306,2026-06-30,M3,日班,v2,178.6,71.3,295,13
1307,2026-07-01,M2,日班,v1,190.5,87.8,365,7
1308,2026-07-02,M3,日班,v2,192.7,86.3,385,17
1309,2026-07-03,M2,日班,v1,185.0,69.9,228,5
1310,2026-07-03,M3,日班,v2,191.6,76.3,302,13
1311,2026-07-03,M1,夜班,v1,192.9,76.6,258,3
1313,2026-07-03,M3,日班,v2,178.3,62.7,276,10
1314,2026-07-03,M3,夜班,v2,184.2,81.0,206,10
1315,2026-07-04,M2,日班,v1,192.8,64.8,383,5
1316,2026-07-05,M3,夜班,v2,186.0,72.7,325,20
1317,2026-07-05,M2,日班,v1,189.0,87.4,342,4
1318,2026-07-05,M1,夜班,v1,191.3,71.7,293,7
1319,2026-07-06,M3,日班,v2,185.2,68.8,185,5
1320,2026-07-06,M1,夜班,v1,191.3,82.5,381,9
1321,2026-07-06,M1,日班,v2,184.2,76.2,299,2
1322,2026-07-06,M3,夜班,v2,191.7,86.3,276,21
1323,2026-07-07,M1,日班,v1,187.1,82.8,340,4
1324,2026-07-08,M1,夜班,v1,186.2,79.0,371,7
1325,2026-07-08,M2,日班,v1,185.5,74.6,402,11
1326,2026-07-08,M1,夜班,v1,191.7,64.9,315,4
1327,2026-07-08,M3,日班,v2,180.7,64.6,387,14
1328,2026-07-08,M1,日班,v1,183.8,66.6,336,8
1329,2026-07-09,M1,夜班,v1,189.1,75.2,395,12
1330,2026-07-09,M3,日班,v2,184.3,69.2,379,21
1331,2026-07-10,M1,夜班,v1,178.5,70.8,192,0
1333,2026-07-11,M2,日班,v1,180.2,72.3,337,6
1334,2026-07-11,M2,日班,v1,192.9,68.8,213,9
1335,2026-07-11,M3,日班,v2,179.4,77.7,376,15
1336,2026-07-11,M1,夜班,v1,178.5,86.2,282,5
1337,2026-07-11,M2,日班,v1,189.7,72.1,320,7
1340,2026-07-12,M2,日班,v1,182.3,69.1,245,6
1341,2026-07-12,M3,日班,v2,193.1,67.6,402,17
1342,2026-07-12,M1,夜班,v1,190.0,70.8,403,14
1343,2026-07-12,M2,日班,v1,187.4,67.0,265,4
1344,2026-07-12,M2,夜班,v1,185.5,80.0,373,7
1345,2026-07-13,M2,夜班,v2,192.8,83.7,377,7
1346,2026-07-13,M3,夜班,v2,193.7,72.1,279,13
1347,2026-07-13,M3,夜班,v2,178.1,84.5,276,9
1348,2026-07-14,M1,日班,v1,193.5,74.2,287,6
1349,2026-07-14,M3,日班,v2,186.2,66.3,316,13
1350,2026-07-14,M3,夜班,v2,192.9,79.2,322,10
1351,2026-07-14,M2,日班,v1,178.7,64.8,345,4
1352,2026-07-14,M3,夜班,v2,183.5,74.9,277,17
1353,2026-07-14,M3,日班,v2,189.0,74.1,330,19
1356,2026-07-15,M2,夜班,v2,189.7,65.2,376,5
1357,2026-07-15,M3,夜班,v2,190.1,78.2,310,20
1358,2026-07-15,M2,日班,v2,180.0,85.3,300,2
1359,2026-07-15,M1,夜班,v1,189.6,86.4,231,4
1360,2026-07-15,M3,夜班,v2,190.4,74.4,196,12
1361,2026-07-16,M3,夜班,v2,178.7,79.4,359,21
1362,2026-07-16,M3,夜班,v2,188.7,66.1,194,7
1363,2026-07-16,M1,日班,v1,182.7,75.7,367,6
1364,2026-07-16,M3,日班,v1,191.3,81.7,345,28
1365,2026-07-17,M3,日班,v2,192.2,81.5,195,8
1366,2026-07-18,M2,日班,v1,184.3,76.4,375,6
1367,2026-07-18,M3,日班,v2,185.7,71.4,376,20
1368,2026-07-18,M3,日班,v2,178.2,62.5,408,13
1369,2026-07-18,M2,日班,v1,191.9,65.9,316,7
1370,2026-07-18,M3,夜班,v2,186.1,70.4,305,18
1371,2026-07-19,M2,夜班,v1,192.3,62.8,298,3
1372,2026-07-19,M2,夜班,v1,190.5,84.9,385,13
1373,2026-07-19,M1,夜班,v1,182.0,87.6,390,4
1374,2026-07-19,M3,日班,v2,178.8,66.9,218,17
1375,2026-07-19,M1,日班,v1,180.5,71.7,246,5
1376,2026-07-20,M3,夜班,v2,189.5,65.4,241,9
1377,2026-07-20,M1,日班,v1,193.6,64.8,379,7
1378,2026-07-21,M3,日班,v2,182.2,81.2,219,7
1379,2026-07-21,M3,日班,v2,184.6,71.9,336,9
1380,2026-07-21,M3,日班,v2,179.9,69.0,408,27
1381,2026-07-21,M2,日班,v1,180.8,73.8,394,6
1382,2026-07-21,M2,夜班,v1,180.7,84.6,353,10
1383,2026-07-22,M2,夜班,v1,184.6,79.3,308,8
1384,2026-07-23,M3,夜班,v2,182.2,73.8,235,10
1386,2026-07-23,M3,日班,v2,184.0,80.0,322,10
1388,2026-07-24,M1,夜班,v2,186.4,69.0,204,1
1389,2026-07-24,M2,夜班,v1,190.0,67.2,289,6
1390,2026-07-25,M1,夜班,v1,182.9,83.4,297,7
1391,2026-07-25,M1,日班,v1,178.0,75.4,377,5
1392,2026-07-25,M2,日班,v1,184.3,68.0,275,5
1393,2026-07-26,M3,夜班,v1,180.0,64.1,257,16
1394,2026-07-26,M1,日班,v1,189.2,72.8,255,2
1395,2026-07-27,M1,夜班,v1,184.0,62.6,203,4
1397,2026-07-27,M2,夜班,v1,181.2,85.1,212,3
1398,2026-07-27,M3,夜班,v2,189.4,75.0,183,12
1399,2026-07-27,M2,日班,v1,185.5,68.7,268,7
1400,2026-07-27,M1,夜班,v1,193.2,84.7,256,5
1402,2026-07-27,M2,夜班,v2,179.0,64.3,294,6
1403,2026-07-27,M3,夜班,v2,193.4,83.9,246,14
1404,2026-07-27,M2,日班,v1,180.4,67.5,413,12
1405,2026-07-28,M1,日班,v1,182.5,70.3,296,3
1406,2026-07-29,M2,日班,v1,185.0,62.5,360,7
1407,2026-07-30,M1,夜班,v1,179.8,67.5,231,2
1408,2026-08-01,M1,夜班,v1,188.5,74.0,270,5
1409,2026-08-02,M1,日班,v1,183.6,64.7,262,4
1410,2026-08-02,M1,日班,v1,181.2,77.6,372,7
1411,2026-08-02,M2,日班,v1,192.6,72.1,186,2
1412,2026-08-03,M3,日班,v2,183.1,84.8,287,13
1413,2026-08-03,M1,日班,v1,186.6,82.9,420,8
1414,2026-08-03,M3,日班,v2,185.8,78.8,239,9
1416,2026-08-03,M1,日班,v1,187.7,87.5,226,1
1417,2026-08-04,M2,夜班,v1,193.0,80.0,189,2
1418,2026-08-05,M2,日班,v1,192.5,82.0,298,6
1420,2026-08-06,M2,日班,v1,182.9,87.8,269,8
