批號,日期,機台,班別,排程時間_分,停機_分,主要停機原因,理想週期_秒,產出數,良品數
P-2430,2026-08-22,M3,夜班,456,23,換模,75,319,316
P-2431,2026-08-23,M1,日班,576,37,例行調機,78,392,374
P-2432,2026-08-23,M1,夜班,588,30,等料,78,393,384
P-2433,2026-08-24,M2,日班,542,44,首件確認,82,335,330
P-2434,2026-08-25,M1,日班,501,41,換模,78,333,322
P-2435,2026-08-25,M3,夜班,386,24,換模,75,261,255
P-2436,2026-08-26,M2,日班,614,34,換模,82,389,379
P-2437,2026-08-27,M3,日班,412,41,換模,75,284,263
P-2438,2026-08-27,M3,夜班,390,40,首件確認,75,259,253
P-2439,2026-08-28,M1,夜班,395,40,換模,78,252,246
P-2440,2026-08-29,M3,夜班,559,30,等料,75,402,392
P-2441,2026-08-29,M2,日班,437,40,首件確認,82,262,256
P-2442,2026-08-30,M3,夜班,536,37,首件確認,75,379,375
P-2443,2026-08-31,M3,日班,456,38,首件確認,75,310,305
P-2444,2026-08-31,M2,夜班,394,33,例行調機,82,253,233
P-2445,2026-09-01,M1,夜班,516,29,等料,78,347,324
P-2446,2026-09-02,M3,日班,415,34,換模,75,275,269
P-2447,2026-09-02,M1,日班,368,27,換模,78,248,238
P-2448,2026-09-03,M2,日班,502,37,等料,82,310,294
P-2449,2026-09-04,M3,日班,498,27,首件確認,75,359,356
P-2450,2026-09-04,M3,夜班,365,38,換模,75,247,236
P-2451,2026-09-05,M2,日班,414,27,等料,82,261,258
P-2452,2026-09-06,M1,夜班,546,32,等料,78,378,373
P-2453,2026-09-06,M1,日班,444,24,例行調機,78,308,305
P-2454,2026-09-07,M3,夜班,398,34,等料,75,271,266
P-2455,2026-09-08,M2,夜班,602,36,等料,82,392,384
P-2456,2026-09-08,M1,夜班,567,42,首件確認,78,377,368
P-2457,2026-09-09,M1,日班,502,25,首件確認,78,341,336
P-2458,2026-09-10,M3,夜班,536,23,首件確認,75,385,375
P-2459,2026-09-10,M2,日班,435,29,等料,82,270,265
P-2460,2026-09-11,M2,夜班,486,27,等料,82,306,293
P-2461,2026-09-12,M2,日班,543,33,首件確認,82,350,344
P-2462,2026-09-12,M3,日班,351,39,等料,75,230,219
P-2463,2026-09-13,M3,夜班,363,31,首件確認,75,252,243
P-2464,2026-09-14,M3,日班,603,40,供料微停（不計停機）,75,345,338
P-2465,2026-09-14,M1,日班,519,44,例行調機,78,346,340
P-2466,2026-09-15,M3,夜班,718,36,供料微停（不計停機）,75,419,411
P-2467,2026-09-16,M1,夜班,458,122,設備故障（冷卻／異音）,78,245,233
P-2468,2026-09-16,M1,夜班,754,157,設備故障（冷卻／異音）,78,418,408
P-2469,2026-09-17,M2,夜班,445,28,首件確認,82,280,267
P-2470,2026-09-18,M2,夜班,449,33,換模,82,276,272
P-2471,2026-09-18,M3,日班,661,32,供料微停（不計停機）,75,383,380
P-2472,2026-09-19,M3,日班,506,27,供料微停（不計停機）,75,290,286
P-2473,2026-09-20,M1,日班,712,140,設備故障（冷卻／異音）,78,417,399
P-2474,2026-09-20,M1,夜班,591,121,設備故障（冷卻／異音）,78,346,327
P-2475,2026-09-21,M3,夜班,647,36,供料微停（不計停機）,75,372,367
P-2476,2026-09-22,M3,日班,484,35,供料微停（不計停機）,75,267,260
P-2477,2026-09-22,M1,日班,576,124,設備故障（冷卻／異音）,78,316,313
P-2478,2026-09-23,M2,日班,460,42,等料,82,284,277
P-2479,2026-09-24,M1,夜班,627,138,設備故障（冷卻／異音）,78,358,350
P-2480,2026-09-24,M1,夜班,439,122,設備故障（冷卻／異音）,78,223,214
P-2481,2026-09-25,M3,日班,686,41,供料微停（不計停機）,75,405,372
P-2482,2026-09-26,M2,日班,485,22,等料,82,311,306
P-2483,2026-09-26,M2,夜班,651,39,例行調機,82,419,411
P-2484,2026-09-27,M2,日班,349,20,例行調機,82,231,216
P-2485,2026-09-28,M1,夜班,714,150,設備故障（冷卻／異音）,78,402,397
P-2486,2026-09-28,M3,夜班,672,33,供料微停（不計停機）,75,399,371
P-2487,2026-09-29,M3,日班,612,41,供料微停（不計停機）,75,365,356
P-2488,2026-09-30,M2,夜班,558,42,等料,82,343,334
P-2489,2026-09-30,M3,夜班,435,32,供料微停（不計停機）,75,239,236
P-2490,2026-10-01,M3,夜班,517,32,供料微停（不計停機）,75,312,306
